GeneName	FC	BatchId	SampleId	CN	SegmentNo
CCND2	0.9768406964572718	T00020	SIFJ78845704229181	2	1
CCND2	0.8976757848931235	T00020	GWJA77885085289310	2	1
CCND2	0.9498752665101639	T00020	PUMY80768368632790	2	1
CCND2	0.9258184709832933	T00020	PXIV07110333028834	2	1
CCND2	0.9448175228982524	T00021	TGIL89881737559490	2	1
CCND2	0.9673973753421554	T00021	OSXG44766448288790	2	1
CCND2	0.9061235230818249	T00021	RFJR12041411873438	2	1
CCND2	0.8536812900894516	T00021	AOKF97579023379980	2	1
CCND2	0.9920083716513208	T00021	MOWU45058005000196	2	1
CCND2	0.9427718453930949	T00021	OGCS01664062816051	2	1
CCND2	0.9846469036544047	T00021	GVZJ38034846524127	2	1
CCND2	0.9537487248689605	T00021	PWDA93441134492036	2	1
CCND2	0.8749535699892853	T00022	NFLF62877605623826	2	1
CCND2	0.8879999346948868	T00022	FNTN11706290784953	2	1
CCND2	0.889811475506772	T00022	RNQD81533963815868	2	1
CCND2	0.9853234769318668	T00022	NLEW88468038793683	2	1
CCND2	1.744884661568363	T00022	GKYG29112840648464	5	1
CCND2	0.8853780998577848	T00022	OFIN83487808583153	2	1
CCND2	0.9758664720432827	T00022	MRKH82903192754637	2	1
CCND2	0.922663832921087	T00022	DZTQ98850172460431	2	1
CCND2	1.040187963583107	T00023	EBKT79665998735863	2	1
CCND2	0.9403691317117115	T00023	SESS68147457275062	2	1
CCND2	0.921995848665087	T00023	YAKM67592252030635	2	1
CCND2	0.8842395196263663	T00023	QLTF64381706475531	2	1
CCND2	0.8764396106509443	T00023	ACZJ65651366448883	2	1
CCND2	0.9446958301547874	T00023	PGVZ39911999464999	2	1
CCND2	0.4501972208157396	T00023	YJHM48914589127612	0	1
CCND2	0.8901303156678864	T00023	NWJR22803504160394	2	1
CCND2	0.958878700139891	T00024	JYHM30570501073891	2	1
CCND2	0.9817830157756293	T00024	BEJK59274821815289	2	1
CCND2	0.9150845663168253	T00024	KXKH95745763767966	2	1
CCND2	0.9277698959629976	T00024	ZPLG36471787480907	2	1
CCND2	0.9791211990173949	T00024	YBQW92397668893038	2	1
CCND2	0.9029478214348636	T00024	TWRQ46305631817678	2	1
CCND2	0.44713179922671487	T00024	MZLS87456599239534	0	1
CCND2	0.919412936094987	T00024	PDOS00235962238742	2	1
CCND2	1.2778316698838847	T00025	PFAF69409836809757	3	1
CCND2	0.932370784479888	T00025	QIRX80523453110670	2	1
CCND2	1.0075951784730002	T00025	RGHJ07013563604727	2	1
CCND2	1.004071763934377	T00025	GETJ21918260249889	2	1
CCND2	0.9739291707386987	T00025	LVVB24070170516898	2	1
CCND2	1.642707468887596	T00025	TBID85871401800209	5	1
CCND2	0.9900544714602076	T00025	GXRG98799297416326	2	1
CCND2	0.4321186715419295	T00025	GSGP90306101785961	0	1
CCND2	0.9476778795921765	T00026	ALKA51685423721716	2	1
CCND2	0.9482064549805538	T00026	RKYU88384475825477	2	1
CCND2	1.048273820667198	T00026	UATI69897186220681	2	1
CCND2	0.8066583647711284	T00026	RRNC27014946820337	2	1
CCND2	0.7209091781361665	T00026	PUQB27543288604260	1	1
CCND2	1.0249753144088871	T00026	XHGS22176757537862	2	1
CCND2	0.9137554630705057	T00026	ILPS10616624065796	2	1
CCND2	0.8730400317581288	T00026	DJXG01096544833272	2	1
CCND2	0.8969188887941207	T00027	XENG25579426919574	2	1
CCND2	0.9031952144572071	T00027	DACB65871622722682	2	1
CCND2	0.9652250461970636	T00027	OHZJ90182186041366	2	1
CCND2	1.049581527356329	T00027	IRVL03635867309601	2	1
CCND2	1.2161718931981322	T00027	ASIK95441687880405	3	1
CCND2	0.9254994750578093	T00027	DGKF78693780257363	2	1
CCND2	0.6746832814114827	T00027	UVHL41337094184634	1	1
CCND2	0.8876050390131456	T00027	MNIH16028046535913	2	1
CCND2	0.8889867517340749	T00028	CMDJ68479710282128	2	1
